"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type"
"R2028013","Residential Detached","S","12713 101B AVENUE","Cedar Hills","1958","House/Single Family","58","North Surrey","Surrey","12/22/2016","Rahul Malhotra","1","$2,478.54","1/22/2016","010-385-690",,,"1/31/2016","$628,000","$568.84","1.00","1","3","CD","$625,000","9","1,104","$568.84","1.00","House/Single Family"
"R2024635","Residential Attached","S","1003 289 ALEXANDER STREET","Hastings","1999","Apartment/Condo","17","Vancouver East","Vancouver","4/30/2016","GLENN","1","$1,754.38","1/12/2016","024-404-675","14","$253.30","2/1/2016","$630,000","$769.23","1.01","2","1","CD-1","$625,000","20","819","$769.23","0.97","Apartment/Condo"
"R2003846","Residential Attached","S","516 4910 SPEARHEAD PLACE","Benchlands","1991","Apartment/Condo","25","Whistler","Whistler","3/14/2016","KELLY POGSON","2","$3,426.75","9/24/2015","017-228-182","6","$501.39","1/29/2016","$630,000","$801.53","0.93","2","1","LUC","$679,000","127","786","$801.53","0.90","Apartment/Condo"
"R2026559","Residential Detached","S","12898 68A AVENUE","West Newton","1979","House/Single Family","37","Surrey","Surrey","6/30/2016","Kulvir Sahota","3","$2,596.89","1/20/2016","005-303-087",,,"1/28/2016","$631,000","$310.23","1.03","3","4","RF-G","$613,000","8","2,034","$310.23","1.03","House/Single Family"
"R2026782","Residential Detached","S","31623 NORTHDALE COURT","Abbotsford West","1997","House/Single Family","19","Abbotsford","Abbotsford","7/8/2016","Gurvinder Singh Dhaliwal","4","$4,291.24","1/18/2016","023-757-710",,,"2/1/2016","$635,000","$203.53","0.98","5","7","RS1","$650,000","14","3,120","$203.53","1.06","House/Single Family"
"R2025787","Residential Attached","S","304 1420 DUCHESS AVENUE","Ambleside","1978","Apartment/Condo","38","West Vancouver","West Vancouver","5/31/2016","SIMON","1","$1,641.90","1/15/2016","004-103-301",,"$389.15","1/28/2016","$635,000","$645.33","1.10","1","2","APT","$579,000","13","984","$645.33","1.10","Apartment/Condo"
"R2022565","Residential Detached","S","5301 GOLDSPRING PLACE","Promontory","2007","House/Single Family","9","Sardis","Sardis","6/30/2016","DAN MOSHER","3","$3,538.71","1/2/2016","026-741-318",,,"1/29/2016","$635,000","$189.89","0.98","4","4","SR","$649,000","27","3,344","$189.89","0.98","House/Single Family"
"R2026278","Residential Detached","S","11025 SWAN CRESCENT","Bolivar Heights","1967","House/Single Family","49","North Surrey","Surrey","6/30/2016","todd","1","$2,513.02","1/22/2016","006-490-671",,,"1/30/2016","$635,000","$296.73","1.06","3","4","RF","$599,888","8","2,140","$296.73","1.06","House/Single Family"
"R2028931","Residential Attached","S","207 717 CHESTERFIELD AVENUE","Central Lonsdale","2014","Apartment/Condo","2","North Vancouver","North Vancouver","7/8/2016","NATALIA","2","$2,189.75","1/26/2016","029-202-205",,"$390.91","2/2/2016","$635,000","$653.29","1.06","2","2","APT","$599,800","7","972","$653.29","1.06","Apartment/Condo"
"R2028033","Residential Attached","S","16 8111 GENERAL CURRIE ROAD","Brighouse South","1994","Townhouse","22","Richmond","Richmond","6/30/2016","ANRY WANG","2","$1,901.64","1/25/2016","019-051-310",,"$241.13","2/1/2016","$638,000","$432.84","1.09","3","4","RAM1","$588,000","7","1,474","$432.84","1.09","Townhouse"
"R2028573","Residential Detached","S","7295 BEAU ROAD","Sechelt District","1990","House/Single Family","26","Sunshine Coast","Sechelt","6/30/2016","BRENDA SOPEL","2","$3,839.72","1/25/2016","007-481-535",,,"1/29/2016","$639,000","$232.62","1.00","3","3","R1","$639,000","0","2,747","$232.62","1.00","House/Single Family"
"R2022546","Residential Detached","S","8506 120A STREET","Queen Mary Park Surrey","1989","House/Single Family","27","Surrey","Surrey","7/30/2016","TOUCHBASE","2","$2,547.49","1/3/2016","004-658-221",,,"1/31/2016","$640,000","$320.00","0.98","3","3","RSF","$649,900","28","2,000","$320.00","1.04","House/Single Family"
"R2022583","Residential Attached","S","6 2250 NORDIC DRIVE","Nordic","1995","Townhouse","21","Whistler","Whistler","6/30/2016","Bob Daniels","2","$3,779.88","1/4/2016","019-141-696",,"$354.00","1/29/2016","$640,000","$703.30","0.93","2","2","RTA9","$689,000","25","910","$703.30","0.93","Townhouse"
"R2028555","Residential Detached","S","8969 146 STREET","Bear Creek Green Timbers","1966","House/Single Family","50","Surrey","Surrey","7/23/2016","Jeannette Schmidt","2","$2,912.82","1/23/2016","010-491-597",,,"1/29/2016","$640,000","$336.84","1.00","2","4","SFD","$638,800","6","1,900","$336.84","1.00","House/Single Family"
"R2028231","Residential Detached","S","4900 205 STREET","Langley City","1974","House/Single Family","42","Langley","Langley","6/20/2016","Wes Spencer","3","$3,601.57","1/26/2016","007-605-170",,,"2/2/2016","$641,000","$306.85","1.07","3","4","SF","$599,000","7","2,089","$306.85","1.07","House/Single Family"
"R2026419","Residential Attached","S","608 5311 CEDARBRIDGE WAY","Brighouse","2016","Apartment/Condo","0","Richmond","Richmond","1/18/2017","RIVA SALES TEAM","2","$0.00","1/18/2016","800-102-000","6","$410.00","2/1/2016","$644,900","$565.70","0.98","2","3","RAH2","$659,900","14","1,140","$565.70","0.98","Apartment/Condo"
"R2029238","Residential Detached","S","19606 68 AVENUE","Willoughby Heights","1960","House/Single Family","56","Langley","Langley","7/26/2016","Code","2","$3,848.00","1/26/2016","013-191-551",,,"1/31/2016","$645,000","$477.07","1.13","2","3","R-1B","$569,900","5","1,352","$477.07","1.13","House/Single Family"
"R2018417","Residential Detached","S","26856 24A AVENUE","Aldergrove Langley","1997","House/Single Family","19","Langley","Langley","2/1/2016","David Ferencz","3","$4,088.55","11/30/2015","019-159-064",,,"2/1/2016","$648,888","$264.42","1.00","4","4","R-1D","$648,888","63","2,454","$264.42","0.98","House/Single Family"
"R2010994","Residential Detached","S","6578 152 STREET","East Newton","9999","House/Single Family","999","Surrey","Surrey","3/15/2016","INDU","2","$2,681.70","10/25/2015","010-222-081",,,"2/2/2016","$649,000","$354.64","1.02","2","3","RA","$639,000","100","1,830","$354.64","1.02","House/Single Family"
"R2028079","Residential Detached","S","1284 PRAIRIE AVENUE","Birchland Manor","1966","House/Single Family","50","Port Coquitlam","Port Coquitlam","9/30/2016","GILLES","2","$2,826.73","1/21/2016","004-298-101",,,"2/1/2016","$649,000","$332.82","1.00","2","4","RS1","$649,000","11","1,950","$332.82","1.00","House/Single Family"
"R2012743","Residential Detached","S","2529 RAILCAR CRESCENT","Aberdeen","2015","House/Single Family","1","Abbotsford","Abbotsford","11/30/2016","Steve","3","$2,042.26","11/3/2015","029-440-726",,,"2/1/2016","$649,900","$192.62","1.00","3","3","RS3","$649,900","90","3,374","$192.62","1.00","House/Single Family"
"R2031097","Residential Attached","S","5 433 SEYMOUR RIVER PLACE","Seymour NV","2015","Townhouse","1","North Vancouver","North Vancouver","4/29/2016","JENNY WUN","2","$0.00","1/29/2016","029-711-291","3","$228.18","1/29/2016","$649,900","$598.43","1.00","2","2","CD-73","$649,900","0","1,086","$598.43","1.00","Townhouse"
"R2024657","Residential Attached","S","201 4101 YEW STREET","Quilchena","1975","Apartment/Condo","41","Vancouver West","Vancouver","6/30/2017","KERBY","2","$2,171.00","1/12/2016","003-728-765","6","$474.20","1/28/2016","$650,000","$551.78","0.99","2","2","RES","$658,000","16","1,178","$551.78","0.99","Apartment/Condo"
"R2022003","Residential Attached","S","508 8288 SABA ROAD","Brighouse","1999","Apartment/Condo","17","Richmond","Richmond","5/31/2016","SABA","3","$2,160.86","12/31/2015","024-368-831","15","$372.90","2/2/2016","$650,000","$464.29","0.96","3","4","CDT-1","$680,000","33","1,400","$464.29","0.96","Apartment/Condo"
"R2030508","Residential Detached","S","6248 148 STREET","Sullivan Station","2010","House/Single Family","6","Surrey","Surrey","4/30/2016","ANDY LAIL","4","$3,813.28","1/30/2016","027-681-327",,,"1/30/2016","$650,000","$240.38","0.97","4","6","RF9","$668,888","0","2,704","$240.38","0.97","House/Single Family"
"R2027380","Residential Attached","S","407 4425 HALIFAX STREET","Brentwood Park","1999","Apartment/Condo","17","Burnaby North","Burnaby","6/30/2016","CARLA","2","$2,546.94","1/22/2016","024-428-108",,"$310.00","2/2/2016","$650,000","$589.30","1.09","2","2","MF","$599,000","11","1,103","$589.30","1.09","Apartment/Condo"
"R2030875","Residential Attached","S","2803 6638 DUNBLANE AVENUE","Metrotown","2018","Apartment/Condo","0","Burnaby South","Burnaby","4/30/2016","MIDORI","2","$0.00","1/30/2016","800-102-456","37","$241.14","2/1/2016","$650,900","$685.16","1.00","2","2","CD-1","$650,900","2","950","$685.16","1.00","Apartment/Condo"
"R2020900","Residential Attached","S","41 10489 DELSOM CRESCENT","Nordel","2012","Townhouse","4","N. Delta","Delta","12/31/2016","Megan Assistant","3","$3,502.33","12/16/2015","028-796-721",,"$320.15","1/31/2016","$651,000","$290.88","1.00","4","3","CD3483","$654,000","46","2,238","$290.88","1.00","Townhouse"
"R2029281","Residential Detached","S","2224 FOOTHILLS COURT","Abbotsford East","1991","House/Single Family","25","Abbotsford","Abbotsford","3/27/2016","Randy or Monique","3","$3,884.00","1/27/2016","015-729-800",,,"2/1/2016","$651,800","$220.65","1.04","3","4","RS2","$624,700","5","2,954","$220.65","1.04","House/Single Family"
"R2025844","Residential Attached","S","67 4933 FISHER DRIVE","West Cambie","1997","Townhouse","19","Richmond","Richmond","7/18/2016","TEXT MESSAGE ONLY","3","$2,094.24","1/18/2016","023-618-132",,"$173.46","1/29/2016","$653,000","$413.81","1.09","3","4","ZT7","$599,000","11","1,578","$413.81","1.09","Townhouse"
"R2029004","Residential Attached","S","206 1501 VIDAL STREET","White Rock","2017","Apartment/Condo","0","South Surrey White Rock","White Rock","5/1/2016","Beverly Sales Team","2","$0.00","1/26/2016","900-577-773","12","$418.77","2/2/2016","$654,900","$508.07","0.98","2","2","MFD","$664,900","7","1,289","$508.07","0.98","Apartment/Condo"
"V1140115","Residential Attached","S","2308 4880 BENNETT STREET","Metrotown","2013","Apartment/Condo","3","Burnaby South","Burnaby","8/20/2016","TEXT/TOUCHBASE","2","$2,500.00","8/20/2015","029-051-665",,"$227.32","1/29/2016","$655,000","$777.91","0.98","2","2","APT","$666,666","162","842","$777.91","0.98","Apartment/Condo"
"V1102496","Residential Attached","S","420 5835 HAMPTON PLACE","University VW","1993","Apartment/Condo","23","Vancouver West","Vancouver","7/31/2016","SHINE LI","2","$1,444.00","2/2/2015","018-180-477","4","$532.00","2/2/2016","$656,000","$531.60","1.00","2","2","APT","$658,000","365","1,234","$531.60","1.03","Apartment/Condo"
"R2023104","Residential Attached","S","311 3788 W 8TH AVENUE","Point Grey","1990","Apartment/Condo","26","Vancouver West","Vancouver","6/30/2016","ED WONG","2","$1,750.00","1/7/2016","014-702-746","3","$455.91","1/31/2016","$656,500","$620.51","0.98","2","2","RM4","$669,000","24","1,058","$620.51","0.98","Apartment/Condo"
"R2029583","Residential Detached","S","70 40137 GOVERNMENT ROAD","Garibaldi Estates","2007","House/Single Family","9","Squamish","Squamish","9/30/2016","KRISTI HERNANDEZ","3","$3,469.26","1/28/2016","026-823-021",,"$81.00","1/30/2016","$657,000","$377.37","1.01","4","4","RS1","$649,000","2","1,741","$377.37","1.01","House/Single Family"
"R2027876","Residential Attached","S","30 9688 KEEFER AVENUE","McLennan North","2009","Townhouse","7","Richmond","Richmond","5/31/2016","KRISTY","2","$2,203.26","1/25/2016","027-768-104",,"$175.30","1/31/2016","$660,000","$503.43","1.03","3","3","ZT50","$638,800","6","1,311","$503.43","1.03","Townhouse"
"R2027799","Residential Detached","S","17062 62 AVENUE","Cloverdale BC","1990","House/Single Family","26","Cloverdale","Surrey","7/27/2016","Scott Moe","2","$2,840.00","1/27/2016","015-568-709",,,"1/30/2016","$660,000","$441.47","1.10","2","3","SFD","$600,000","3","1,495","$441.47","1.10","House/Single Family"
"R2028567","Residential Attached","S","2119 LAMPREY DRIVE","Mary Hill","1958","1/2 Duplex","58","Port Coquitlam","Port Coquitlam","5/25/2016","FH TEAM","2","$2,434.11","1/25/2016","007-931-981",,"$0.00","2/2/2016","$661,000","$326.58","1.10","2","5","RD","$599,900","8","2,024","$326.58","1.10","1/2 Duplex"
"R2023807","Land Only","S","8646 156 STREET","Fleetwood Tynehead",,,,"Surrey","Surrey","7/31/2016","AMARJIT NAIR",,"$2,619.00","1/10/2016","029-282-519",,,"1/29/2016","$661,000","$42.06","0.95",,,"RF","$699,000","19",,"$42.06","0.95","Other"
"R2028464","Residential Detached","S","12903 CARLUKE CRESCENT","Queen Mary Park Surrey","1978","House/Single Family","38","Surrey","Surrey","4/30/2016","Shawn Hlookoff","3","$3,007.40","1/25/2016","004-953-967",,,"1/31/2016","$661,150","$249.02","1.05","3","4","SFD","$629,000","6","2,655","$249.02","1.05","House/Single Family"
"R2024337","Residential Attached","S","901 789 JERVIS STREET","West End VW","1991","Apartment/Condo","25","Vancouver West","Vancouver","4/30/2016","PETER LAM","2","$1,993.94","1/12/2016","016-988-230",,"$488.00","1/28/2016","$662,000","$624.53","0.95","2","2","STRATA","$698,000","16","1,060","$624.53","0.95","Apartment/Condo"
"R2030252","Residential Detached","S","35250 FIRDALE AVENUE","Abbotsford East","2002","House/Single Family","14","Abbotsford","Abbotsford","12/20/2017","Blondie/Rita","3","$4,500.17","1/30/2016","025-112-562",,,"1/31/2016","$663,000","$160.81","1.00","4","6","RS1","$664,500","1","4,123","$160.81","1.00","House/Single Family"
"R2024302","Residential Attached","S","208 1575 W 10TH AVENUE","Fairview VW","1998","Apartment/Condo","18","Vancouver West","Vancouver","7/11/2016","GO TEAM OFFICE","2","$2,001.01","1/11/2016","024-229-512",,"$311.45","1/28/2016","$665,000","$607.31","0.99","2","2","RM-3","$675,000","17","1,095","$607.31","0.99","Apartment/Condo"
"R2026255","Residential Attached","S","902 1200 ALBERNI STREET","West End VW","1997","Apartment/Condo","19","Vancouver West","Vancouver","4/19/2016","KATHY OR TOUCHBASE","2","$1,775.09","1/19/2016","023-486-198",,"$406.08","2/1/2016","$665,000","$748.87","0.99","2","2","CD-1","$675,000","13","888","$748.87","0.95","Apartment/Condo"
"R2025181","Residential Attached","S","1 5311 LACKNER CRESCENT","Lackner","1988","Townhouse","28","Richmond","Richmond","4/30/2016","NARI","2","$2,145.00","1/12/2016","007-902-301","2","$175.00","2/2/2016","$668,000","$431.25","1.03","3","3","RTL1","$650,000","21","1,549","$431.25","1.03","Townhouse"
"R2027155","Residential Attached","S","2708 4880 BENNETT STREET","Metrotown","2013","Apartment/Condo","3","Burnaby South","Burnaby","4/30/2016","Roy","2","$3,284.05","1/21/2016","029-051-878",,"$267.47","1/28/2016","$668,000","$793.35","1.00","2","2","APT","$670,000","7","842","$793.35","1.00","Apartment/Condo"
"R2028252","Residential Detached","S","5926 183 STREET","Cloverdale BC","1981","House/Single Family","35","Cloverdale","Surrey","7/20/2016","Marty or touchbase","2","$2,927.27","1/24/2016","005-637-821",,,"1/31/2016","$668,400","$342.77","1.00","3","3","SFR","$668,400","7","1,950","$342.77","1.00","House/Single Family"
"R2029430","Residential Attached","S","3203 6638 DUNBLANE AVENUE","Metrotown","2018","Apartment/Condo","0","Burnaby South","Burnaby","4/26/2016","MIDORI","2",,"1/26/2016","800-102-316","37","$241.14","1/28/2016","$669,900","$705.16","1.00","2","2","CD1","$669,900","2","950","$705.16","1.00","Apartment/Condo"
"R2027920","Residential Detached","S","4769 201 STREET","Langley City","1975","House/Single Family","41","Langley","Langley","7/31/2016","Touchbase only","2","$3,042.53","1/24/2016","007-443-927",,,"2/1/2016","$670,000","$301.94","1.12","3","3","RS-1","$598,800","8","2,219","$301.94","1.12","House/Single Family"
"R2027581","Residential Attached","S","1801 615 HAMILTON STREET","Uptown NW","2005","Apartment/Condo","11","New Westminster","New Westminster","8/1/2016","GORD DI CASTRI","2","$2,686.00","1/19/2016","026-145-227",,"$387.74","1/30/2016","$670,000","$528.39","0.96","2","2","STRATA","$698,800","11","1,268","$528.39","0.96","Apartment/Condo"
"R2028994","Residential Attached","S","2502 1188 W PENDER STREET","Coal Harbour","2008","Apartment/Condo","8","Vancouver West","Vancouver","12/30/2016","ROSE","1","$2,001.01","1/25/2016","027-537-951",,"$305.56","2/2/2016","$670,000","$1,089.43","1.05","1","1","APT","$639,000","8","615","$1,089.43","1.05","Apartment/Condo"
"R2028244","Residential Detached","S","14316 HYLAND ROAD","East Newton","1989","House/Single Family","27","Surrey","Surrey","8/24/2016","Karamjit Singh","4","$3,457.73","1/25/2016","011-855-754",,,"1/31/2016","$670,500","$267.03","1.03","4","5","RF","$649,900","6","2,511","$267.03","1.03","House/Single Family"
"R2028374","Residential Detached","S","20555 123 AVENUE","Northwest Maple Ridge","9999","House/Single Family","999","Maple Ridge","Maple Ridge","6/30/2016","Julie Ramirez","2","$4,583.43","1/26/2016","010-178-741",,,"2/1/2016","$671,000","$301.03","1.03","3","4","RS1","$648,800","6","2,229","$301.03","1.03","House/Single Family"
"R2023021","Residential Attached","S","312 5555 DUNBAR STREET","Dunbar","2015","Apartment/Condo","1","Vancouver West","Vancouver","1/1/2017","BEN HURLBUTT","2","$0.00","1/1/2016","800-101-668","1","$302.00","1/31/2016","$672,400","$790.13","0.99","2","2","C-2","$679,900","30","851","$790.13","0.99","Apartment/Condo"
"R2029167","Residential Detached","S","14346 68B AVENUE","East Newton","1985","House/Single Family","31","Surrey","Surrey","5/30/2016","Manjit","2","$2,780.47","1/26/2016","001-185-241",,,"2/1/2016","$675,000","$395.66","1.09","3","3","SFR","$619,999","6","1,706","$395.66","1.09","House/Single Family"
"R2028939","Residential Detached","S","11818 239 STREET","Cottonwood MR","1995","House/Single Family","21","Maple Ridge","Maple Ridge","6/25/2016","TOUCHBASE","2","$4,597.27","1/25/2016","018-873-570",,,"2/1/2016","$675,000","$191.98","1.13","3","4","RS1B","$599,900","7","3,516","$191.98","1.13","House/Single Family"
"R2028148","Residential Attached","S","702 1200 ALBERNI STREET","West End VW","1997","Apartment/Condo","19","Vancouver West","Vancouver","3/31/2016","Alisa","2","$1,743.27","1/25/2016","023-486-066",,"$402.00","2/1/2016","$679,000","$764.64","0.97","2","2","CD-1","$699,000","7","888","$764.64","0.97","Apartment/Condo"
"R2028746","Residential Detached","S","24331 104 AVENUE","Albion","2012","House/Single Family","4","Maple Ridge","Maple Ridge","12/31/2016","Team HomeHuntersBC","2","$4,348.49","1/27/2016","028-687-558",,,"2/2/2016","$680,000","$206.44","1.01","3","3","R-1","$674,900","6","3,294","$206.44","1.01","House/Single Family"
"R2029091","Residential Attached","S","26 2951 PANORAMA DRIVE","Westwood Plateau","1992","Townhouse","24","Coquitlam","Coquitlam","4/25/2016","BETTY FRICKER","3","$3,008.00","1/25/2016","017-871-280","3","$305.00","1/31/2016","$681,000","$265.50","1.07","4","4","RT-2","$635,000","6","2,565","$265.50","1.07","Townhouse"
"R2029096","Residential Attached","S","5 7373 TURNILL STREET","McLennan North","2009","Townhouse","7","Richmond","Richmond","6/27/2016","BLAKE","2","$2,383.50","1/27/2016","028-199-758",,"$170.40","2/1/2016","$681,000","$529.55","1.02","3","3","ZT50","$668,000","5","1,286","$529.55","1.02","Townhouse"
"R2028947","Residential Detached","S","16570 59A AVENUE","Cloverdale BC","2007","House/Single Family","9","Cloverdale","Surrey","4/30/2017","Megan Assistant","3","$4,060.25","1/27/2016","026-039-362",,,"2/1/2016","$681,000","$233.22","1.05","4","6","RES","$649,000","5","2,920","$233.22","1.05","House/Single Family"
"R2027276","Residential Detached","S","14931 86 AVENUE","Bear Creek Green Timbers","1989","House/Single Family","27","Surrey","Surrey","7/26/2016","Bryce","2","$2,991.08","1/26/2016","010-939-288",,,"1/31/2016","$682,165","$341.42","1.02","3","3","RF","$668,800","5","1,998","$341.42","1.02","House/Single Family"
"R2028920","Residential Detached","S","36198 CASSANDRA DRIVE","Abbotsford East","1995","House/Single Family","21","Abbotsford","Abbotsford","5/22/2016","CHAD","3","$4,460.08","1/22/2016","019-087-608",,,"2/1/2016","$685,000","$189.91","1.25","3","6","RS2","$549,900","10","3,607","$189.91","1.25","House/Single Family"
"R2029769","Residential Attached","S","206 4101 YEW STREET","Quilchena","1976","Apartment/Condo","40","Vancouver West","Vancouver","10/31/2016","VICTOR KWAN","2","$1,930.30","1/28/2016","003-728-846",,"$459.20","1/28/2016","$685,000","$553.76","0.94","2","2"," CD-1","$728,000","0","1,237","$553.76","0.94","Apartment/Condo"
"R2029137","Residential Detached","S","13976 66 AVENUE","East Newton","1984","House/Single Family","32","Surrey","Surrey","7/26/2016","Prab Dhoot","3","$2,892.32","1/27/2016","000-592-463",,,"1/31/2016","$685,000","$331.72","1.10","3","4","SFR","$625,000","4","2,065","$331.72","1.10","House/Single Family"
"R2029686","Residential Detached","S","11451 239A STREET","Cottonwood MR","2000","House/Single Family","16","Maple Ridge","Maple Ridge","6/29/2016","JIM QUINNELL","3","$4,417.58","1/29/2016","024-332-712",,,"1/30/2016","$685,000","$248.37","1.01","3","5","RS1B","$679,900","1","2,758","$248.37","1.01","House/Single Family"
"R2028916","Residential Detached","S","1671 CHADWICK AVENUE","Glenwood PQ","1975","House/Single Family","41","Port Coquitlam","Port Coquitlam","5/30/2016","BRIAN LAMB","1","$2,812.38","1/27/2016","001-242-539",,,"2/1/2016","$688,000","$425.74","1.21","1","2","RS1","$569,900","5","1,616","$425.74","1.21","House/Single Family"
"R2030068","Residential Attached","S","601 5983 GRAY AVENUE","University VW","2013","Apartment/Condo","3","Vancouver West","Vancouver","8/1/2016","STAN VAN WOERKENS","2","$1,431.56","1/29/2016","029-123-453",,"$263.90","2/1/2016","$688,800","$838.98","0.99","2","2","APT","$699,000","3","821","$838.98","0.99","Apartment/Condo"
"R2004565","Residential Detached","S","2652 CABOOSE PLACE","Aberdeen","2015","House/Single Family","1","Abbotsford","Abbotsford","12/31/2016","Steve","4","$2,042.26","9/25/2015","029-440-394",,,"1/28/2016","$689,000","$178.82","1.00","6","6","RS3","$689,000","125","3,853","$178.82","1.03","House/Single Family"
"R2024878","Residential Detached","S","32665 UNGER COURT","Mission BC","2009","House/Single Family","7","Mission","Mission","7/30/2016","Martin Engh","3","$4,872.00","1/11/2016","027-820-955",,,"2/1/2016","$690,000","$185.83","0.99","4","4","RES","$694,500","21","3,713","$185.83","0.99","House/Single Family"
"R2027807","Residential Detached","S","6119 148 STREET","Sullivan Station","2009","House/Single Family","7","Surrey","Surrey","7/31/2016","Gina Pasricha","3","$3,668.83","1/25/2016","027-180-778",,,"2/2/2016","$691,000","$280.67","0.99","4","6","RF9","$699,000","8","2,462","$280.67","0.99","House/Single Family"
"R2028420","Residential Detached","S","11451 94A AVENUE","Annieville","1959","House/Single Family","57","N. Delta","Delta","6/30/2016","Rav Bains","2","$2,635.00","1/21/2016","010-390-928",,,"1/30/2016","$692,300","$576.92","1.26","2","2","CD331","$549,000","9","1,200","$576.92","1.26","House/Single Family"
"R2029536","Residential Detached","S","336 3000 RIVERBEND DRIVE","Coquitlam East","2006","House/Single Family","10","Coquitlam","Coquitlam","7/29/2016","Bev Hutter","3","$2,975.98","1/29/2016","025-912-763",,"$64.92","2/1/2016","$693,000","$302.49","1.00","3","6","RS5","$693,000","3","2,291","$302.49","1.00","House/Single Family"
"R2030192","Residential Attached","S","1905 285 E 10TH AVENUE","Mount Pleasant VE","2017","Apartment/Condo","0","Vancouver East","Vancouver","12/31/2016","CALVIN KAN","2",,"1/28/2016","800-102-380",,"$356.83","2/1/2016","$694,900","$771.25","1.00","2","2","CONDO","$694,900","4","901","$771.25","1.00","Apartment/Condo"
"R2016833","Residential Attached","S","1105 638 BEACH CRESCENT","Yaletown","2006","Apartment/Condo","10","Vancouver West","Vancouver","3/31/2016","text/email/touchbase","1","$2,100.01","11/23/2015","026-754-029",,"$374.27","1/31/2016","$695,000","$883.10","0.99","1","1","CONDO","$699,900","69","787","$883.10","0.99","Apartment/Condo"
"R2027764","Residential Detached","S","12727 97 AVENUE","Cedar Hills","1971","House/Single Family","45","North Surrey","Surrey","5/31/2016","Celia Harding","2","$2,964.52","1/24/2016","011-522-526",,,"1/30/2016","$695,000","$361.98","1.09","2","4","RS1","$634,900","6","1,920","$361.98","1.09","House/Single Family"
"R2028765","Residential Attached","S","2001 121 TENTH STREET","Uptown NW","1991","Apartment/Condo","25","New Westminster","New Westminster","5/25/2016","TEAM DAVE VALLEE","2","$2,758.36","1/25/2016","016-790-308",,"$492.00","1/29/2016","$695,000","$448.39","1.00","2","2","MF","$698,000","4","1,550","$448.39","1.00","Apartment/Condo"
"R2027965","Residential Detached","S","11066 236A STREET","Cottonwood MR","2002","House/Single Family","14","Maple Ridge","Maple Ridge","6/25/2016","Josh","3","$4,597.27","1/25/2016","024-992-259",,,"1/31/2016","$695,000","$237.85","1.03","3","5","RES","$675,000","6","2,922","$237.85","1.03","House/Single Family"
"V1138291","Residential Attached","S","520 4910 SPEARHEAD PLACE","Benchlands","1991","Apartment/Condo","25","Whistler","Whistler","2/7/2016","JON CHAUDHARI","2","$3,560.00","8/7/2015","017-228-204",,"$525.00","1/30/2016","$695,000","$846.53","0.94","2","1","LUC","$739,000","176","821","$846.53","0.94","Apartment/Condo"
"R2028484","Residential Detached","S","5759 186A STREET","Cloverdale BC","1991","House/Single Family","25","Cloverdale","Surrey","6/30/2016","Cyndi or Marianne","2","$3,140.22","1/26/2016","012-625-108",,,"2/1/2016","$696,000","$342.69","1.04","3","3","RES","$669,900","6","2,031","$342.69","1.04","House/Single Family"
"R2028425","Residential Detached","S","9224 213 STREET","Walnut Grove","1986","House/Single Family","30","Langley","Langley","5/20/2016","John Kenney","2","$3,740.42","1/25/2016","002-376-750",,,"2/2/2016","$699,000","$367.89","1.11","3","5","SFD","$629,000","8","1,900","$367.89","1.11","House/Single Family"
"R2016110","Residential Detached","S","2644 CABOOSE PLACE","Aberdeen","2015","House/Single Family","1","Abbotsford","Abbotsford","11/2/2016","Pavin Cheema","4","$2,042.26","11/2/2015","029-440-408",,,"1/28/2016","$699,000","$188.46","1.00","5","4","RES","$699,000","87","3,709","$188.46","1.00","House/Single Family"
"R2005438","Residential Attached","S","16 3122 160 STREET","Grandview Surrey","2012","Townhouse","4","South Surrey White Rock","Surrey","3/31/2016","BRIAN JOHNSON","3","$3,947.06","10/1/2015","028-438-116",,"$381.01","1/30/2016","$699,000","$216.41","1.00","4","4","MF","$699,000","121","3,230","$216.41","0.99","Townhouse"
"R2029235","Residential Attached","S","9 3400 DEVONSHIRE AVENUE","Burke Mountain","2015","Townhouse","1","Coquitlam","Coquitlam","4/30/2016","THERESA LILJEDAHL","3",,"1/23/2016","800-102-260","3","$198.84","2/1/2016","$699,900","$353.48","1.00","4","3","RM-6","$699,900","9","1,980","$353.48","1.00","Townhouse"
"R2029130","Residential Detached","S","14153 66 AVENUE","East Newton","1986","House/Single Family","30","Surrey","Surrey","5/31/2016","Tom McConnell","2","$2,774.42","1/26/2016","002-580-209",,,"2/1/2016","$700,000","$317.89","1.08","3","5","SF","$649,900","6","2,202","$317.89","1.08","House/Single Family"
"R2027989","Residential Detached","S","1868 FRASER AVENUE","Glenwood PQ","1924","House/Single Family","92","Port Coquitlam","Port Coquitlam","7/25/2016","Steve Hamer-Jackson","2","$3,052.96","1/25/2016","009-182-161",,,"2/2/2016","$700,000","$262.96","1.08","2","5","RS4","$649,900","8","2,662","$262.96","1.08","House/Single Family"
