"ML #","Prop Type","Status","Address","S/A","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Total Baths","Zoning","List Price","Lot Sz (Acres)","Region","# of Kitchens","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Adjustment Date","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","Buyer","ByLaw Infractions?","City","Class","Collapse Date","Confirm Sold Date","Days On MLS","Depth","Development Permit?","Expiry Date","Fireplaces","Floor Area -Grand Total","Floor Area Fin - Basement","Foundation","Gross Taxes","How Sold","Income As At Date","Income Per Annum","Include in DDF (Y/N)","Info Package Available?","Jurisdiction","Land Lease Expiry Year","Last Trans Date","Less Oper. Expenses","List Date","Municipality","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","Parking Places - Total","Potential for Rezoning?","Prev Price","Previous Exp Date","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Sale/Rent","Sanitary Sewer","SP/OLP Ratio","Status Change Date","Storeys in Building","Stories in Building","Storm Sewer","Strata Maint Fee","Title to Land","Tot Units in Strata Plan","Unit Entitlement","Units in Development","Water Supply","Worldproperties.com"
"R2172423","Residential Detached","S","936 GOWER POINT ROAD","Gibsons & Area","441","3","1996","51,836.40","House with Acreage","Sunshine Coast","010-710-922","V0N 1V3","101.00",,,"$1,200,000","0.88","$351.08","8/15/2018","4","R1","$1,365,000","1.19","Greater Vancouver","1",,,,"10/29/2018","22",,"604-418-2695",,,,"0","3",,,".",,"Gibsons","Residential Detached",,"8/15/2018","441","513.22",,"10/31/2018","1","3,418","0","Concrete Perimeter","$4,286.39","NOT USED",,,"Yes",,,,"8/17/2018",,"5/31/2017",,,,"3",,"6",,"$1,495,000","10/31/2017",,"BC","Huge Opportunity!!!! This large, 3600+ sqft Oceanview home is located across from Secret Beach in the Cedar Grove catchment and on a 50,000+ sqft SUBDIVIDABLE!!!! Lot. South Facing 3-5 bedroom, 3 bathroom, 2bl garage, family home with ocean views from almost every room. The partially finished ground floor has the option of customizing or suiting for revenue. There are lots of options with this one; Renovate and live? Build at the back? Sub-divide? Hold long term? The options are endless….. Call your Realtor to request viewing.  ","All measurements approximate, buyer to verify if important. Lot is sub-dividable. Seller is open to offers. Floor plan and professional pictures/video tour to follow.","For Sale",,"0.80","8/17/2018",,,,,"Freehold NonStrata",,,,,
"R2291432","Residential Attached","T","1556 MCNAIR DRIVE","Lynn Valley","23","4","1973","0.00","Townhouse","North Vancouver","003-360-253","V7K 1X6",,,,,,,,"4","RM1","$1,210,000","0.00","Greater Vancouver","1",,,,,"45",,"604-339-6527",,,,"0","4",,,,,"North Vancouver","Residential Attached",,,,,,"8/10/2018","2","1,977","0","Concrete Slab","$2,961.73",,,,"Yes",,,,"8/10/2018",,"7/18/2018",,,,"3",,"1",,"$0",,,"BC","Welcome to a nature paradise!  This beautiful renovated townhome in the highly sought after Parkwood North is the perfect family home.  Professionally measured at 1977 Sq Ft of living space, it features 4 Bedrooms, 2 full baths and 2 half baths, office / media room, and a beautiful 399 Sq Ft new Brazilian Ironwood outdoor deck perfect for summer BBQ parties or simply lounge and enjoy the breathtaking mountain forest views.  Nested beside Mountain View Park and a short bike or hike to the Baden Powell Trail, this is an absolute gem for active families.  Minutes walking to Upper Lynn Elementary and public transit, this is truly North Van living at its best.","Professionally measured 1977 Sq Ft living space, 399 Sq Ft Outdoor Deck. Owner occupied, please allow 24 hours for showing requests. Showing requests by text or touchbase please. A pleasure to show!  Additional parking spot can be rented at $15 - $25 per month.","For Sale",,,"8/10/2018",,,,"$420.00","Freehold Strata",,,,,
"R2288297","Residential Detached","S","5766 244B STREET","Salmon River","31","3","1982","21,344.00","House/Single Family","Langley","002-770-164","V2Z 1G7","92.80",,,"$1,213,000","0.96","$584.58","8/11/2018","3","SR-3","$1,259,000","0.49","Fraser Valley","1",,,,"9/26/2018","36",,"604-533-3491",,,,"0","3",,,"JANZEN",,"Langley","Residential Detached",,"8/11/2018","31","230(1/2ac)",,"12/31/2018","2","2,075","0","Concrete Perimeter","$4,801.37","NOT USED",,,"Yes",,"TOWNSHIP OF LANGLEY",,"8/15/2018",,"7/11/2018","Langley",,,"2",,"8",,"$0",,,"BC","Beautiful 2 Storey Colonial home located on a manicured ½ acre in quiet Salmon River location. Home features vinyl windows, updated carpet & hardwood flooring, 2 gas fireplaces, built-in vacuum, new tub & shower enclosure & fresh paint. Spacious floor plan offers large living room and adjoining dining room, bright Oak kitchen with new corian counters, ceramic tile backsplash and bay window eating area overlooking private backyard. Upstairs offers 3 bedrooms including master with walk-in closet and 3 pc ensuite. Fully fenced rear yard offers lot of space for family, garden area and room to expand or build a shop. Excellent location, close to schools and country markets. Call now for your private tour!","All measurements are approximate. Buyer or Buyer's agent to verify. No showings July 19 or 20","For Sale",,"0.96","8/15/2018",,,,,"Freehold NonStrata",,,,,
"R2290678","Residential Detached","S","6751 6TH STREET","Burnaby Lake","23","4","1965","8,970.00","House/Single Family","Burnaby South","001-359-118","V5E 3S8","69.00",,,"$1,215,000","0.92","$475.91","8/10/2018","3","R2","$1,318,000","0.21","Greater Vancouver","1",,,,"1/31/2019","53",,"604-813-1971",,,,"1","3",,,".",,"Burnaby","Residential Detached",,"8/10/2018","23","130",,"12/31/2018","2","2,553","1,257","Concrete Perimeter","$5,917.03","NOT USED",,,"Yes",,,,"8/13/2018",,"7/18/2018",,,,"2",,"4",,"$0",,,"BC","Huge lot with fantastic views of the North Shore Mountains, 69' x 13' 8,970 sq.ft. lot with back lane access. R2 zoning in Burnaby Lake area. Great street location on quiet street two blocks to Robert Burnaby Park & one block to Lakeview Elementary School. centrally located. House is in poor condition needs work, great for handyman or builder. Priced to sell at lot value.","All measurements are approximate & buyer or buyer's agent to verify if important. Total sq ft & lot size taken from B.C. Assessment. To be sold as is where is value mainly in land. One seller is willing to rent back up to 4 months. All offers to be emailed to edwolosnick@telus.net.","For Sale",,"0.92","8/13/2018",,,,,"Freehold NonStrata",,,,,
"R2254874","Residential Detached","T","15132 82 AVENUE","Bear Creek Green Timbers","129","7","1995","7,232.00","House/Single Family","Surrey","018-512-674","V3S 8M6","31.00",,,,,,,"5","RF","$1,215,000","0.17","Fraser Valley","2",,,,,"23",,"604-764-1800",,,,"3","4",,,,,"Surrey","Residential Detached",,,,"135 (IRREG)",,"8/13/2018","2","3,110","1,122","Concrete Perimeter","$4,485.54",,,,"Yes",,,,"8/13/2018",,"4/6/2018","Surrey",,,"3",,"6",,"$1,269,000","10/5/2018",,"BC","Excellent price in the area! 3 level house. Basement home. Dead end street. Nice view of Valley. 2 gas F/P's, Hot water heating, tile roof, Jacuzzi in Master Ensuite, stucco exterior, quiet cul-de-sac. 4 and half baths. Walking distance to golf course, schools, shopping & park. Rented upstairs and down. PERFECT location. YOU DON'T WANT TO MISS THIS!!!","All measurements are approx. only. Buyer to verify if imp't. Property contains accommodation which is not authorized. Rented upstairs and down.","For Sale",,,"8/13/2018",,,,,"Freehold NonStrata",,,,,
"R2267536","Residential Detached","T","6189 CRESCENT PLACE","Holly","95","5","1990","6,487.41","House/Single Family","Ladner","014-728-303","V4K 4V1","51.83",,,,,,,"3","RS6","$1,220,000","0.15","Greater Vancouver","1",,,,,"28",,"778-689-0899",,,,"0","5",,,,,"Delta","Residential Detached",,,,"132",,"8/14/2018","2","3,205","0","Concrete Perimeter","$4,038.62",,,,"Yes",,,,"8/14/2018",,"5/11/2018",,,,"2",,"4",,"$1,248,500","8/31/2018",,"BC","Stunning well maintained home in Ladner with spectacular views. This 3205 sq. ft. home comes with 5 bedrooms plus 3 bathrooms and is perfect for a growing family. Features panoramic views of farmland and the North Shore Mountains. This gorgeous home has had several recent updates which include: exterior painting of the house (April 2018), kitchen updates (April 2018), new laminate flooring in living room (April 2018), a new boiler system installed in 2016, new roof and gutters in 2014, updated bathrooms, new interior paint plus so much more! Located on a quiet street that is walking distance to Holly Elementary School and multiple parks. Ladner Village is just minutes away and there is easy access to transportation and highways. Call now to secure your private showing!","All measurements are approximate and need to be verified by buyer if deemed important. Measurements by Measure Masters. Realtor is related to Seller.","For Sale",,,"8/14/2018",,,,,"Freehold NonStrata",,,,,
"R2261870","Residential Detached","S","5483 CRIMSON RIDGE","Promontory","111","6","2016","7,659.00","House/Single Family","Sardis","027-145-034","V2R 0J5","67.00",,,"$1,225,000","0.94","$267.58","8/16/2018","4","R3","$1,299,800","0.18","Chilliwack","2",,,,"8/29/2018","2",,"604-846-7355",,,,"2","4",,,"Leibing/Swensen",,"Sardis","Residential Detached",,"8/16/2018","111","104",,"7/27/2018","2","4,578","1,221","Concrete Perimeter","$3,431.01","NOT USED",,,"Yes",,"CITY OF CHILLIWACK",,"8/17/2018",,"4/27/2018","Chilliwack",,,"3",,"6",,"$1,349,900",,,"BC","Perched at the top of Promontory w/ STUNNING views, this BEAUTIFUL 2 Storey w/ Basement home has it all. Fantastic family neighborhood, walking distance to elementary school, hiking trails & parks. Close to shopping & restaurants, Vedder River, Cultus Lake, and easy freeway access. Boasting a long list of features like 2 storey Great Rm w/ floor to ceiling f/p, bright w/ huge windows showcasing the views of the Valley. Gourmet kitchen w/ lots of storage, big island, & s/s appliances. Huge vaulted master w/ gas f/p, private patio, walk in closet, & ensuite w/ lg 2 head shower & sep tub. Private backyard w/ covered patio & firepit area, an entertainers dream yard. Bsmt with media rm. Total 6 beds, 4 bath, over 4500 sqft. Call to view!","***PROPERTY CONTAINS ACCOMMODATION WHICH IS NOT AUTHORIZED***","For Sale",,"0.91","8/17/2018",,,,,"Freehold NonStrata",,,,,
"R2282488","Residential Attached","C","306 1490 PENNYFARTHING DRIVE","False Creek","56","2","1986","0.00","Apartment/Condo","Vancouver West","003-935-132","V6J 4Z3",,,,,,,,"2","FCCDD","$1,225,000","0.00","Greater Vancouver","1",,,,,"32",,"604-790-7771","2000",,,"0","2",,,,,"Vancouver","Residential Attached",,,,,,"10/31/2018","0","1,294","0","Concrete Perimeter","$2,503.80",,,,"Yes",,"CITY OF VANCOUVER",,"8/16/2018",,"6/21/2018","City of Vancouver",,,"1",,"1",,"$1,248,000",,,"BC","Spectacular views of Harbour Cove lush garden, fountain &Vancouver's gorgeous skyline, water & Granville Island. marina. This partially renovated, well kept and hardly leaved in home has one of best complex layouts, oak engineered floors throughout, partly open renovated kitchen with new SS appliances, renovated bathrooms. Extremely well preserved suite offers 1294sq.ft. with 2 bedrooms-plus enclosed solarium. The HC complex offers luxury amenities: indoor pool, exercise, recreational amenity room for any family functions, well managed and proactive Strata with 7 days a week concierge services. Stroll  the seawall, walk to enjoy the Bard on the Beach Shakespeare Festival or shop the Granville Isl. Mrkt. The Vancouver best location","All measurements are approximate & could be verified if important. Parking #A242, locker #76 in Room #12. Minimum 24 hours appointment notice to show is must. Showings by appointments with the Buyer's Agent presence.","For Sale",,,"8/16/2018",,,,"$677.90","Freehold Strata",,,,,
"R2272986","Residential Detached","C","43841 STONERIDGE PLACE","Chilliwack Mountain","74","5","2005","30,492.00","House/Single Family","Chilliwack","025-698-681","V2R 5V2","75.00",,,,,,,"4","R1A","$1,225,000","0.70","Chilliwack","1",,,,,"13",,"604-703-5564",,,,"0","5",,,,,"Chilliwack","Residential Detached",,,,,,"11/30/2018","1","5,051","0","Concrete Perimeter","$5,480.80",,,,"Yes",,"CITY OF CHILLIWACK",,"8/10/2018",,"5/28/2018","Chilliwack",,,"3",,"6",,"$1,275,000",,,"BC","Welcome family, welcome friends.This is a very special, custom designed and quality built  smart home set on a .7 acre treed, waterfront property in West Chilliwack's prestigious Copper Ridge. Each of the 3 levels welcome you in, invite you to sit and offer you breathtaking panoramic views of the river and mountains beyond. Designed for comfortable, versatile living, this home has operated as a highly rated B&B for several years. With its central open kitchen, spacious dining area, cozy family rooms, state of the art media room, spa bath, solarium, office, 5 spacious bedrooms and so,so much more this could be the family retreat you have been looking for. Feed the birds, drink wine, watch the river, read under a tree. Live here.","**CANCELLED AUG 9 2018** Currently operating as B and B so showings between 10am and 6pm w/proper notice please. Smart Home, fully automated with high end electronics throughout. Pls see associated docs for Smart Home/AV and Theatre info and floor plan. See virtual tour for additional pix.","For Sale",,,"8/10/2018",,,,,"Freehold NonStrata",,,,,
"R2270946","Residential Attached","C","702 1480 DUCHESS AVENUE","Ambleside","83","2","1977","0.00","Apartment/Condo","West Vancouver","004-104-749","V7T 2W2",,,,,,,,"1","RM2","$1,225,000","0.00","Greater Vancouver","1",,,,,"41",,"778-288-8565","2015",,,"0","2",,,,,"West Vancouver","Residential Attached",,,,,,"8/22/2018","2","1,140","0","Concrete Perimeter","$1,644.51",,,,"Yes",,"DISTRICT OF WEST VANCOUVER",,"8/13/2018",,"5/22/2018","West Vancouver",,,"1",,"1",,"$1,298,000",,,"BC","Enjoy spectacular southwest views from this 7th floor 2 bedroom + den condo.  Completely renovated to the highest standards. Features gourmet kitchen with stainless steel appliances, cambria quartz counters, marble backsplash, pantry, custom cabinetry and breakfast bar. Includes insuite laundry, updated electric, new hardwood floors, paint, crown molding, blinds, doors and hardware throughout. This concrete, corner unit is situated in the meticulously maintained Westerlies complex.  Complex offers storage locker, parking, sauna/steam room, tennis courts and beautifully manicured outdoor gardens.  Just steps to shopping, restaurants, transit, recreation and Ambleside Beach.  Do not miss this opportunity to own a luxury residence in West Vancouver!","**NO TOUCHBASE** The Buyer(s) is aware that all measurements, sq.ft, lot size, dimension & age of the home are approximate & are not guaranteed, & definitely should be verified. Pkg#33 Lock#21.","For Sale",,,"8/13/2018",,,,"$422.79","Freehold Strata",,,"57",,
"R2266230","Residential Detached","X","1361 128A STREET","Crescent Bch Ocean Pk.","93","3","1976","5,000.00","House/Single Family","South Surrey White Rock","010-797-394","V4A 3X2","50.00",,,,,,,"2","RF","$1,225,000","0.11","Fraser Valley","1",,,,,"42",,"604-808-2001",,,,"1","2",,,,,"Surrey","Residential Detached",,,,"100",,"8/10/2018","2","1,787","729","Concrete Perimeter","$4,575.98",,,,"Yes",,"CITY OF SURREY",,"8/11/2018",,"5/10/2018","Surrey",,,"2",,"5",,"$0",,,"BC","Welcome to this 3 bedroom family home in the heart of Ocean Park. Located near Kwomais Point Park and 1001 Steps, just a short walk away from gorgeous ocean sunsets and soaring eagles in one of the best neighbourhoods you'll ever find. This home features 2 gorgeous fireplaces, hardwood floors, generous sized bedrooms, basement rec room, and a bright west facing sunroom and private backyard. Ray Shepherd Elementary and Elgin Park school catchments.","Please verify measurements if important to buyers and/or buyers agent.  Tenanted - please allow minimum 24 hours notice.  Leased til June 2019 for $2600/mo.","For Sale",,,"8/11/2018",,,,,"Freehold NonStrata",,,,,
"R2266606","Residential Detached","X","8648 SHOOK ROAD","Hatzic","93","2","1955","62,290.80","House with Acreage","Mission","005-297-061","V2V 7L9","136.00",,,,,,,"2","RES","$1,227,500","1.43","Fraser Valley","1",,,,,"63",,"604-768-6717",,,,"0","2",,,,,"Mission","Residential Detached",,,,"312",,"8/9/2018","2","1,375","0","Concrete Perimeter","$2,137.23",,,,"Yes",,"MAPLE RIDGE RURAL 2",,"8/10/2018",,"5/9/2018","Maple Ridge",,,"1",,,,"$1,287,000",,,"BC","Experience waterfront tranquility, in your own back yard! Situated on nearly 1.5 private acres on the beautiful Hatzic Lake, this home boasts much more than just privacy and views! Gated, and set back from the road, this bright and cozy 2 bedroom home features an updated kitchen with skylight, stainless appliances, granite countertops, and French doors to the yard, two  fireplaces, hardwood flooring and much more. Two large patios for outdoor entertaining. This property also has the added bonus of a fully contained one bedroom guest cottage, that comes with its own separate laundry. Waterfront views, established gardens, mature trees, and open lawns make you feel like you are walking through a park!","Property contains accommodation which is not authorized. All Measurements are approximent and to be verified by the buyer or the buyer's agent if deemed important. The second house has one bedroom, one living room, one kitchen, a full bathroom, laundry and den","For Sale",,,"8/10/2018",,,,,"Freehold NonStrata",,,,,
"R2272654","Residential Attached","X","PH16 3478 WESBROOK MALL","University VW","80","2","2010","0.00","Apartment/Condo","Vancouver West","028-354-991","V6S 0B6",,,,,,,,"2","APT","$1,229,000","0.00","Greater Vancouver","1",,,,,"8",,"604-616-8820",,,,"0","2",,,,,"Vancouver","Residential Attached",,,,,,"8/6/2018","0","1,005","0","Concrete Perimeter","$1,674.45",,,,"Yes",,,,"8/11/2018",,"5/23/2018",,,,"1",,"1",,"$1,298,000",,,"BC","The best corner Penthouse with rooftop garden in prestigious Spirit developed by Adera to REAP Gold standards. Southeast exposure with tons sunshine to every room and facing quiet and beautiful inner complex courtyard. 12' high ceilings with huge windows and balcny. Beautiful Pacific Spirit Forest and UBC campus view from your private rooftop garden equipped with fireplace and BBQ. Upgraded with top-of-the line appliances and hardwood flooring in dining and living rooms. Steps to University Hill Secondary School, Norma Rose Point Elementary School, Pacific Spirit Forest, Parks, Softball Diamond, UBC MBA House, Wesbrook Village community center, clinic, banks, shopping, and restaurants, almost everything! Open House Sunday July 29, 2-4PM","All measurements are approximate and needs to be verified by buyer if important.  Parking #42, Locker #60. Open House Sunday July 29, 2-4PM","For Sale",,,"8/11/2018",,"4",,"$329.89","Leasehold prepaid-Strata","62",,,,
"R2282492","Residential Detached","T","17348 0B AVENUE","Pacific Douglas","56","5","2012","3,677.00","House/Single Family","South Surrey White Rock","027-363-121","V3Z 8L2","44.00",,,,,,,"4","RF-12","$1,230,000","0.08","Fraser Valley","1",,,,,"6",,"604-728-2817",,,,"0","5",,,,,"Surrey","Residential Detached",,,,"83",,"8/15/2018","2","3,332","0","Concrete Perimeter","$4,737.35",,,,"Yes",,"CITY OF SURREY",,"8/15/2018",,"6/20/2018","Surrey",,,"3",,"4",,"$1,259,800","9/30/2018",,"BC","Welcome to Summerfield in desirable Pacific Douglas neighborhood of pictresque homes. This custom built home features 5 bedrooms, 4 bathrooms, enginered hardwood floors, quartz countertops, designer paint, fixtures and moldings, wall to ceiling cabinets plus panty and over sized island. Master bedroom features spa inspried ensuite and gas fireplace. Basement consists of built in speakers for media room and rough in for in-law suite. Endless possibilties... South exposed fully fencd yard for year round enjoyment. Conveniently located minutes from the US border, Peace Arch Golf Course, White Rock Beach and easy access to highways. Opportunity is knocking. Priced to sell! Call today before tomorrow is too late!",,"For Sale",,,"8/15/2018",,,,,"Freehold NonStrata",,,,,
"R2278174","Residential Detached","T","15108 61 AVENUE","Sullivan Station","64","4","2006","4,123.00","House/Single Family","Surrey","026-255-693","V3S 5J7","121.16",,,,,,,"4","RF-12","$1,238,000","0.09","Fraser Valley","1",,,,,"12",,"778-389-2733","2013",,,"1","3",,,,,"Surrey","Residential Detached",,,,"83.82",,"8/14/2018","1","3,324","1,096","Concrete Perimeter","$3,652.32",,,,"Yes",,"CITY OF SURREY",,"8/14/2018",,"6/11/2018","Surrey",,,"3",,"4",,"$0","9/30/2018",,"BC","Welcome to the great neighbourhood of Olivers Lane. A Very family oriented community, with block parties a few times a year. In a very quiet area with no through traffic, and southern exposure. This house has custom paint colours, a great open concept living space with a mud room and large office on the main floor. Upstairs opens onto a large family room/flex space and 3 large bedrooms. Vaulted ceilings & walk-in closet in the master w/luxurious ensuite bath & soaker tub. Basement is fully finished with suite potential and separate entrance. This house has the perfect back yard for entertaining! This is a must see!","Measurements taken by Media 360 Design. Call or TB Bree Berman at Ph: 778-389-2733. Sellers will keep: Garage Freezer and fridge.","For Sale",,,"8/14/2018",,,,,"Freehold NonStrata",,,,,
"R2267604","Residential Detached","X","823 GATENSBURY STREET","Harbour Chines","93","4","1965","10,230.00","House/Single Family","Coquitlam","003-016-943","V3J 5H6","66.00",,,,,,,"3","SFD","$1,238,000","0.23","Greater Vancouver","1",,,,,"53",,"604-644-6430",,,,"0","4",,,,,"Coquitlam","Residential Detached",,,,"155.00",,"8/9/2018","0","2,392","0","Concrete Perimeter","$4,336.07",,,,"Yes",,,,"8/10/2018",,"5/9/2018",,,,"1",,,,"$0",,,"BC","Big, flat lot 66 x 155 ft ( 10,230 SQ.FT.). Great location to build your dream house. A lot of new constructions in the area, close to shopping, schools, transit and recreation center. Current house needs a lot of work.Property is being sold as is where is.","Meas are approx. Buyers to verify.  Current house  needs a lot of work. Mostly it's a land value.","For Sale",,,"8/10/2018",,,,,"Freehold NonStrata",,,,,
"R2282230","Residential Attached","X","2304 989 BEATTY STREET","Yaletown","61","2","2004","0.00","Apartment/Condo","Vancouver West","025-896-709","V6Z 3C2",,,,,,,,"2","DD","$1,238,000","0.00","Greater Vancouver","1",,,,,"14",,"604-250-5258",,,,"0","2",,,,,"Vancouver","Residential Attached",,,,,,"8/17/2018","1","887","0","Concrete Perimeter","$1,921.28",,,,"Yes",,,,"8/18/2018",,"6/18/2018",,,,"1",,"1",,"$0",,,"BC","Now is your chance to live in the NOVA on the 23rd floor! Situated in the Heart of Yaletown, very few 2 BR homes become available in the NOVA and this one is a beauty. This well maintained SW corner unit features floor to ceiling windows offering sweeping City, Water and Mountain views. An Exceptionally well run BOSA building with only 4 suites per floor ensuring privacy and quiet. Low MM fees yet great building amenities. Light, bright and spacious with an excellent open layout which makes it feel much larger. A pet friendly building. A Place to call Home! Open Saturday August 11th 1:30 - 3:30 ","Call or text for showings. The unit is tenanted. Please allow 24 hours notice for showings if possible. Measurements taken from Strata Plan and do not include outdoor space. Room measurements are approximate and should be verified if important. Open Saturday August 11th 1:30 to 3:30","For Sale",,,"8/18/2018",,"25",,"$394.38","Freehold Strata","165",,"165",,
"R2253411","Residential Detached","T","470 SANDBAR PLACE","Boundary Beach","134","3","1988","5,339.00","House/Single Family","Tsawwassen","007-707-291","V4L 2L1","0.00",,,,,,,"2","RS8","$1,238,000","0.12","Greater Vancouver","1",,,,,"30",,"604-970-8118",,,,"0","3",,,,,"Delta","Residential Detached",,,,,,"8/15/2018","2","1,800","0","Concrete Slab","$4,726.52",,,,"Yes",,,,"8/15/2018",,"4/3/2018",,,,"2",,"4",,"$1,248,000","8/28/2018",,"BC","Welcome home to this Lovely 3 bedroom, 2 bath Rancher in Desirable Centennial Tides! Bright home with skylights in the foyer & dining room, bay windows in living room & eating area. Cozy gas fireplaces in the family & living room. The convenience of a double garage. The is the lifestyle you've been looking for... with just steps to Scenic Boundary Beach!","Please use Touchbase when possible.  Thank you.  Measurements are approximate.","For Sale",,,"8/15/2018",,,,,"Freehold NonStrata",,,,,
"R2292268","Residential Attached","C","817 QUADLING AVENUE","Coquitlam West","24","4","2013","0.00","1/2 Duplex","Coquitlam","028-988-256","V3K 2A3",,,,,,,,"4","RT-1","$1,239,800","0.00","Greater Vancouver","1",,,,,"5",,"778-986-7180",,,,"0","4",,,,,"Coquitlam","Residential Attached",,,,,,"10/23/2018","0","2,134","0","Concrete Perimeter","$3,833.41",,,,"Yes",,,,"8/16/2018",,"7/23/2018",,,,"2",,"3",,"$0",,,"BC","Prestige duplex, only 5 years old, still like new! With over 2100 sq. ft make this 4 bedroom, 3.5 bathroom unit one of largest available . Located close to schools, with easy access to highway and shopping. 3 bedrooms upstairs plus one bedroom with its own rec room, full bathroom and separate entry located down, perfect for a live in nanny. Nice flat lot for easy access and gardening. Radiant floor heat. South facing. Ready to move in! Open House: Aug 11 (Sat) 3-5PM","Measurements from plans. Buyer to verify if important. PLEASE INITIAL ON ATTACHED TEAM DOCUMENT. Open House: Aug 11 (Sat) 3-5PM","For Sale",,,"8/16/2018",,,,"$0.00","Freehold Strata",,,,,
"R2273808","Residential Detached","T","5873 131A STREET","Panorama Ridge","79","6","2012","3,732.00","House/Single Family","Surrey","028-577-345","V3X 0E4","0.00",,,,,,,"5","SF","$1,248,000","0.09","Fraser Valley","2",,,,,"6",,"778-846-2977",,,,"2","4",,,,,"Surrey","Residential Detached",,,,,,"8/15/2018","1","2,662","808","Concrete Perimeter","$3,341.33",,,,"Yes",,,,"8/15/2018",,"5/28/2018",,,,"3",,"6",,"$0","8/28/2018",,"BC","Desirable Panorama Ridge, Central location! Young home with lots of room for your family. 4 level home with 2 master bedrooms, Open layout main floor area is all laminate, nice customized cabinetry, granite counter tops, nice woodwork & finishing carpentry. MAIN floor area contains living room with gas fire place, kitchen, dining & large family room that take you to back covered sundeck. TWO bedroom-Basement is fully finished with separate entry. Lots of parking & has a back lane access. Close to all amenities.","All measurements are approx. Buyer to verify if deemed important.  Property contains accommodation which is not authorized. Desirable Panorama Ridge, Central location! Young home with lots of room for your family. 4 level home with 2 master bedrooms, Open layout.","For Sale",,,"8/15/2018",,,,,"Freehold NonStrata",,,,,
"R2276562","Residential Attached","C","110 733 E 3RD STREET","Queensbury","74","3","2020","0.00","Townhouse","North Vancouver","800-122-379","V7L 1G8",,,,,,,,"3","CD-685","$1,249,000","0.00","Greater Vancouver","1",,,,,"0",,"778-239-0085",,,,"0","3",,,,,"North Vancouver","Residential Attached",,,,,,"9/30/2018","0","1,514","0","Concrete Perimeter","$0.00",,,,"Yes",,,,"8/14/2018",,"6/1/2018",,,,"2",,"2",,"$0",,,"BC","COME HOME TO YOUR OASIS ON THE PARK - Enjoy the outdoor lifestyle that Moodyville Park offers in your 2-level townhome at GREEN on Queensbury. With a beautiful greenspace right outside your door - it's perfect for summer dining on your south facing spacious patio or enjoying the park amenities. Easy access to your home from the parking - with no fuss elevators. Beautifully designed kitchen has integrated Fisher Paykel appliances with thoughtful storage including pantry and wine shelving. Living space features overheight ceilings, Jaga heating & cooling system, generous closet space, contemporary roller blinds & luxurious oversized spa-like bathrooms. Fitness centre, guest suite, social lounge with patio. GREEN is truly unique!","Please note bonus. Presale - estimated completion date is early 2020. Measurements are taken from architectural drawings and are approximate. Buyer to verify if important. Please call Yvonne at 778-239-0085 for more information.","For Sale",,,"8/14/2018",,,,"$637.54","Freehold Strata","164",,,,
"R2266091","Residential Detached","X","17065 57 STREET","Cloverdale BC","93","4","1995","7,890.00","House/Single Family","Cloverdale","018-817-343","V3S 8M9","66.35",,,,,,,"3","RFR","$1,249,000","0.18","Fraser Valley","1",,,,,"23",,"604-928-1361",,,,"0","4",,,,,"Surrey","Residential Detached",,,,"118.90",,"8/10/2018","2","3,061","0","Concrete Perimeter","$3,790.56",,,,"Yes",,"CITY OF SURREY",,"8/11/2018",,"5/10/2018","Surrey",,,"2",,"4",,"$1,299,000",,,"BC","RICHARDSON RIDGE! This beautiful 4 bed 3 bath home is located on a quiet family oriented cul-de-sac, you will feel at home the moment you walk through the French front doors and are greeted by the grand curved stairway, 17' vaulted ceilings, chandelier and gas fireplace. Stunning kitchen with new shaker cabinets, granite countertops, stainless steel European appliances including gas stovetop and walk-in pantry. Entertain in your very private fenced backyard complete with stamped concrete patio, BBQ gas hook up, new storage shed, and children's play center.","All measurements approx. and should be verified by Buyer. Easy to show. Dates are flexible.","For Sale",,,"8/11/2018",,,,,"Freehold NonStrata",,,,,
