"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type","# of Kitchens","Access to Property","Appointment Phone Number","Commission","Complex/Subdivision","Depth","Fireplaces","Frontage - Feet","Info Package Available?","PAD Rental","Parking Places - Total","Postal Code","Potential for Rezoning?","Prop Disclosure Statement","Province","Sanitary Sewer","Storeys in Building","Storm Sewer","Water Supply"
"N232088","Residential Detached","S","9712 88TH STREET","Fort St. John - City SE","2007","House/Single Family","6","Fort St. John (Zone 60)","Fort St. John","5/12/2014","CHAD","2","$4,457.00","11/12/2013","026-593-416",,,"12/19/2013","$512,500","$183.56","1.01","2","4","R2","$509,000","37","2,792","$183.56","1.01","House/Single Family","1",,"250-785-8051","3% ON 1ST $100,000/ 1.5% ON THE BALANCE","CAMARLLO PARK 2","114","0","58.30",,,"3","V1J 0C7",,,"BC",,,,
"F1323524","Residential Detached","S","18592 62ND AVENUE","Cloverdale BC","1989","House/Single Family","24","Cloverdale","Surrey","5/31/2014","Jack Dempsey","2","$2,935.00","10/8/2013","012-652-989",,,"12/13/2013","$513,000","$230.56","0.95","3","3","SF","$538,000","66","2,225","$230.56","0.93","House/Single Family","1",,"604-830-6499","S-3.2% 1ST 100K/1.1% BAL",,"124.35","2","57.20",,,"4","V3S 7R1",,,"BC",,,,
"F1317356","Residential Detached","S","21036 80A AVENUE","Willoughby Heights","2012","House/Single Family","1","Langley","Langley","12/30/2013","Vicky or Gord Scott","3","$3,860.00","7/19/2013","028-285-123",,,"12/16/2013","$514,485","$216.72","0.92","4","4","R-CL","$556,900","150","2,374","$216.72","0.92","House/Single Family","2",,"604-530-0231","S-3.22% 1ST 100K/1.25% BAL","Yorkson","92","1","31.00",,,"2","V2J 0J4",,"New Construction","BC",,,,
"V1015827","Residential Attached","S","2107 7090 EDMONDS STREET","Edmonds BE","2012","Apartment/Condo","1","Burnaby East","Burnaby","2/20/2014","ROBIN","2","$2,622.00","7/2/2013","028-765-869",,"$239.39","12/14/2013","$516,000","$573.33","0.94","2","2","CD","$548,000","165","900","$573.33","0.94","Apartment/Condo","1",,"778-688-0806","3.22% ON 1ST $100K/1.15% ON BAL","REFLECTIONS",,"1",,,,"1","V3N 0C6",,"RENTAL","BC",,,,
"F1327252","Residential Detached","S","19132 70TH AVENUE","Clayton","2005","House/Single Family","8","Cloverdale","Surrey","4/30/2014","AMBER POGNE","3","$2,802.00","12/12/2013","026-270-536",,,"12/21/2013","$518,000","$199.38","0.99","4","5","RF","$524,000","9","2,598","$199.38","0.99","House/Single Family","2",,"604-530-0231","S-3.22% 1ST 100K/1.15% BAL",,,"1",,,,"3","V4N 0A6",,,"BC",,,,
"F1326250","Residential Detached","S","27234 27A AVENUE","Aldergrove Langley","2003","House/Single Family","10","Langley","Langley","6/1/2014","604-309-1970","3","$3,786.00","11/25/2013","025-549-383",,,"12/18/2013","$520,000","$206.27","0.97","3","6","R-1B","$535,000","23","2,521","$206.27","0.97","House/Single Family","2",,"604-309-1970","S-3.25% 1ST 100K/1.15% BAL","Shortreed Heritage","107","1","50.00",,,"6","V4W 4A5",,,"BC",,,,
"F1317656","Residential Detached","S","18066 70A AVENUE","Cloverdale BC","2008","House/Single Family","5","Cloverdale","Surrey","1/15/2014","Jamie Hucul","3","$2,825.00","7/24/2013","026-735-971",,,"12/29/2013","$522,000","$214.02","0.99","4","4","RF-9","$529,900","158","2,439","$214.02","0.98","House/Single Family","1",,"604-512-1835","S-3.22% 1ST 100K/1.15% BAL","THE WOODS AT PROVINCETON","88","1","32.00",,,"3","V3S 7C5",,,"BC",,,,
"V1029913","Residential Attached","S","10 8231 FRANCIS ROAD","Garden City","1990","Townhouse","23","Richmond","Richmond","12/30/2013","LUCY LO","2","$2,418.00","9/28/2013","014-992-370",,"$229.79","12/19/2013","$523,000","$312.24","0.95","3","3","RTL1","$550,000","82","1,675","$312.24","0.89","Townhouse","1",,"604-838-2283","3.255% ON 1ST $100,000/1.1625% ON BAL","CORAL GARDEN",,"1",,,,"2","V6Y 1A5",,,"BC",,,,
"V1032620","Residential Attached","S","1903 1166 MELVILLE STREET","Coal Harbour","1997","Apartment/Condo","16","Vancouver West","Vancouver","12/31/2013","STEVEN","2","$1,841.00","10/17/2013","023-721-316",,"$324.19","12/14/2013","$523,000","$640.15","0.98","2","2","DD","$535,000","58","817","$640.15","0.96","Apartment/Condo","1",,"604-339-0714","3% ON FIRST $100,000/1% ON BAL","ORCA PLACE",,"0",,,,"1","V6E 4P6",,,"BC",,,,
"V1038583","Residential Attached","S","48 9088 HALSTON COURT","Government Road","2006","Townhouse","7","Burnaby North","Burnaby","5/31/2014","KEN ZHOU","2","$2,845.00","12/9/2013","027-083-993",,"$217.75","1/2/2014","$524,500","$380.62","0.99","3","3","MF","$529,800","24","1,378","$380.62","0.99","Townhouse","1",,"604-518-7189","3.2% ON 1ST 100K / 1.15% ON BAL","TERRAMOR",,"1",,,,"2","V3N 0A7",,,"BC",,,,
"F1325450","Residential Detached","S","12459 78TH AVENUE","West Newton","1983","House/Single Family","30","Surrey","Surrey","4/30/2014","Sukhbir Gill","2","$2,638.00","11/8/2013","002-680-564",,,"12/18/2013","$525,000","$350.00","0.93","2","3","SFR","$564,500","40","1,500","$350.00","0.93","House/Single Family","1",,"604-767-4275","S-3.25% 1ST 100K/1.15% BAL*",,"119","1","59.00",,,"7","V3W 2X5",,,"BC",,,,
"V1038371","Residential Attached","S","901 7988 ACKROYD ROAD","Brighouse","2013","Apartment/Condo","0","Richmond","Richmond","6/1/2014","Karin Tham/ Text/ TB","2","$723.00","12/2/2013","029-195-217",,"$245.00","12/14/2013","$525,000","$585.94","0.96","2","2","ZMU5","$545,000","12","896","$585.94","0.96","Apartment/Condo","1",,"604-780-3236","3.255% OF 1ST $100,000 + 1.1625% OF BALANCE","Quintet Tower A",,"0",,,,"1","V6X 0K6",,,"BC",,,,
"V1038981","Residential Detached","S","4710 CEDAR TREE LANE","Delta Manor","1984","House/Single Family","29","Ladner","Ladner","6/30/2014","KEITH","2","$2,883.00","12/11/2013","000-459-658",,"$50.00","12/19/2013","$525,000","$273.15","0.97","3","2","RM3","$541,900","8","1,922","$273.15","0.97","House/Single Family","1",,"604-351-8933","3.2% ON THE 1ST $100,000 AND 1.15% ON THE BALANCE","CEDAR TREE LANE",,"1",,,,"2","V4K 4G6",,,"BC",,"2",,
"V1026079","Residential Attached","S","7856 MARCHWOOD PLACE","Champlain Heights","1981","Townhouse","32","Vancouver East","Vancouver","6/30/2014","TEMMY","3","$2,621.00","9/5/2013","005-708-940","2","$155.00","1/2/2014","$525,000","$255.35","1.00","3","4","CD-1","$525,000","119","2,056","$255.35","0.94","Townhouse","1",,"604-802-6262","3.2% ON THE 1ST $100,000 + 1.1% OF THE BALANCE","The Woodlands",,"2",,,,"2","V5S 4A6",,,"BC",,,,
"V998683","Residential Attached","S","203 6888 COONEY ROAD","Brighouse","2012","Apartment/Condo","1","Richmond","Richmond","3/31/2014","DWIGHT CHAN","2",,"3/27/2013","028-940-504","14","$340.79","12/16/2013","$525,000","$532.99","0.97","2","2","CD","$540,000","264","985","$532.99","0.97","Apartment/Condo","1",,"604-789-6888","3% OF TOTAL SALE PRICE","EMERALD",,"0",,,,"1","V6Y 0E1",,,"BC",,,,
"V1031417","Residential Detached","S","LOT 25 4675 FOX LANE","Ladner Rural","2014","House/Single Family","0","Ladner","Ladner","4/30/2014","NATALIE OR ANNE","2","$0.00","10/8/2013","800-080-510",,,"12/17/2013","$525,900","$306.47","0.97","3","3","SF1","$539,900","70","1,716","$306.47","0.97","House/Single Family","1",,"604-943-6677","3.255%-1ST $100K/1.1625% BAL","TSAWWASSEN SHORES","79.7","1","49.20",,,"4","V4M 4G2",,"DISCLOSURE STATEMENT","BC",,,,
"V1007018","Land Only","S","LOT G 3731 BEACH AVENUE","Roberts Creek",,,,"Sunshine Coast","Roberts Creek","5/1/2014","LESLEE COOPER",,"$3,000.00","5/13/2013","029-091-861",,,"12/18/2013","$526,500","$80.19","0.89",,,"R1","$588,800","219",,"$80.19","0.64","House/Single Family",,"Road Access","604-741-7800","3.25% ON 1ST $100,000 & 1.1625% ON THE BALANCE",,"169",,"60.00","No",,,"V0N 2W2","No",,"BC","None",,"None","Community"
"V1021827","Residential Detached","S","1002 FINCH DRIVE","Brennan Center","2014","House/Single Family","0","Squamish","Squamish","8/8/2014","SHELLEY L DOBY","2","$1,354.00","8/8/2013","028-173-864",,,"1/2/2014","$526,500","$264.97","0.96","3","3","RS1","$549,900","147","1,987","$264.97","1.00","House/Single Family","1",,"604-815-3047","3% ON TH FIRST 100 THOUSAND/1.125% ON THE BAL","THE MAPLES",,"1","0.00",,,"3","V8D 0S9",,,"BC",,,,
"V1037537","Residential Attached","S","805 888 HOMER STREET","Downtown VW","2011","Apartment/Condo","2","Vancouver West","Vancouver","5/31/2014","NADER","2","$1,912.00","11/26/2013","028-688-139",,"$333.60","1/2/2014","$528,000","$676.06","0.98","2","2","CONDO","$539,900","37","781","$676.06","0.96","Apartment/Condo","1",,"604-603-0762","3.22% ON FIRST $100,000/1.15% ON BALANCE","THE BEASLEY",,"0",,,,"1","V6B 0H7",,,"BC",,,,
"V1024641","Residential Attached","S","3006 833 SEYMOUR STREET","Downtown VW","2011","Apartment/Condo","2","Vancouver West","Vancouver","4/30/2014","DAVID","1","$2,022.00","8/30/2013","028-413-458","42","$234.74","12/22/2013","$528,000","$724.28","0.99","1","1","RM-5","$535,000","114","729","$724.28","0.98","Apartment/Condo","1",,"604-671-7337","3.255% ON 1ST $100,000/1.1625% ON BAL",,,"0",,,,"1","V6B 0G4",,"OWNER NEVER OCCUPIED","BC",,,,
"V1035207","Residential Attached","S","PH18 3478 WESBROOK MALL","University VW","2011","Apartment/Condo","2","Vancouver West","Vancouver","12/31/2014","778-828-2827","1","$1,374.00","11/6/2013","028-355-016","4","$224.90","12/20/2013","$528,000","$720.33","0.98","2","1","APT","$538,000","44","733","$720.33","0.98","Apartment/Condo","1",,"778-828-2827","3.255%-1ST $100K/1.1625% BAL",,,"1",,,,"1","V6S 0B6",,,"BC",,,,
"V1038783","Residential Attached","S","404 1661 ONTARIO STREET","False Creek","2010","Apartment/Condo","3","Vancouver West","Vancouver","2/28/2014","PHIL CHANG","1","$0.00","12/6/2013","028-235-509",,"$406.20","12/14/2013","$528,000","$638.45","0.98","1","1","CD-1","$539,000","8","827","$638.45","0.98","Apartment/Condo","1",,"604-754-6678","3.255% ON 1ST $100,000/1.1625% ON BAL","SAILS",,"0",,,,"1","V5Y 0C3",,,"BC",,,,
"F1326733","Residential Detached","S","3542 CREEKSTONE DRIVE","Abbotsford East","2006","House/Single Family","7","Abbotsford","Abbotsford","4/1/2014","Lee-ann Thiessen","3","$4,503.00","12/1/2013","026-326-132",,,"12/23/2013","$529,250","$146.20","0.98","4","6","RS2","$539,900","22","3,620","$146.20","0.98","House/Single Family","2",,"604-832-6111","S-3.22% 1ST 100K/1.15% BAL","CREEKSTONE ON THE PARK","129","1","47.92",,,"7","V2S 0A1",,"UPON OFFER","BC",,,,
"V1038298","Residential Detached","S","23979 FERN CRESCENT","Silver Valley","9999","House with Acreage","999","Maple Ridge","Maple Ridge","12/5/2014","MARIO CASORIA","2","$4,523.00","12/5/2013","009-298-053",,,"12/30/2013","$530,000","$331.25","0.98","2","2","RES","$538,888","25","1,600","$331.25","0.98","House with Acreage","1",,"604-454-8102","3.255%-1ST $100K/1.1625% BAL",,"240","2","150.00",,,"8","V4R 2R7",,,"BC",,,,
"V1034364","Residential Detached","S","23884 113TH AVENUE","Cottonwood MR","1998","House/Single Family","15","Maple Ridge","Maple Ridge","5/30/2014","PENNY DUNN","3","$4,444.00","10/31/2013","023-804-521",,,"12/17/2013","$530,000","$170.31","0.97","3","5","RES","$548,888","47","3,112","$170.31","0.95","House/Single Family","1",,"604-818-8762","3.255% ON THE 1ST $100,000 & 1.1625% ON THE BAL",,"IRREG","2","47.00",,,,"V2W 1V4",,,"BC",,,,
"V1036951","Residential Detached","S","8085 10TH AVENUE","East Burnaby","1974","House/Single Family","39","Burnaby East","Burnaby","2/28/2014","ANDY LEA","2","$3,569.00","11/20/2013","002-663-678",,,"12/13/2013","$530,000","$306.00","0.95","2","3","R5","$559,000","23","1,732","$306.00","0.95","House/Single Family","1",,"604-538-8888","3.255% 1ST $100,000/1.1625% BAL",,"136","1","51.00",,,"4","V3N 2S4",,,"BC",,,,
"V1035929","Residential Attached","S","2979 CORONA DRIVE","Simon Fraser Hills","1973","Townhouse","40","Burnaby North","Burnaby","1/10/2014","JOE","3","$2,606.00","11/10/2013","001-083-724",,"$286.00","12/29/2013","$531,000","$235.16","0.97","4","4","MF","$549,800","49","2,258","$235.16","0.97","Townhouse","1",,"778-995-7653","2.55% ON 1ST $100,000/1.1% ON BAL","SIMON FRASER HILLS 2",,"1",,,,"2","V3J 1B9",,"SELLER HAS NEVER LIVED ON PREMISES","BC",,,,
"F1326140","Residential Detached","S","2981 SOUTHERN CRESCENT","Abbotsford West","1992","House/Single Family","21","Abbotsford","Abbotsford","3/20/2014","Touch Base Harvey","4","$3,977.00","11/22/2013","016-357-485",,,"12/21/2013","$531,000","$169.11","0.99","4","4","RS3","$539,000","29","3,140","$169.11","0.97","House/Single Family","1",,"604-855-0800","S-3.25% 1ST 100K/1.15% BAL","Ellwood Properties","152","2","43.00",,,"6","V2T 5H8",,,"BC",,,,
"V972522","Residential Detached","S","3208 MARINER WAY","Ranch Park","1978","House/Single Family","34","Coquitlam","Coquitlam","12/31/2012","KEVIN SKIPWORTH","2","$2,885.00","9/17/2012","006-179-576",,,"12/31/2013","$531,000","$293.21","0.93","2","4","RS-1","$569,000","470","1,811","$293.21","0.92","House/Single Family","1",,"604-689-8226","3.255% ON 1ST $100,000 / 1.1625% ON BAL","RANCH PARK","124","2","56.00",,,"5","V3C 4K7",,,"BC",,,,
"F1326514","Residential Detached","S","7356 144TH STREET","East Newton","2002","House/Single Family","11","Surrey","Surrey","3/31/2014","JAS","4","$2,989.00","11/28/2013","025-083-856",,,"12/25/2013","$532,000","$195.30","0.97","4","5","RES","$549,900","27","2,724","$195.30","0.97","House/Single Family","2",,"604-671-2065","S-3.22% 1ST 100K/1.05% BAL",,"90.41","1","40.00",,,"5","V3W 5S5",,"UPON ACCEPTED OFFER","BC",,,,
"V1027684","Residential Attached","S","231 5835 HAMPTON PLACE","University VW","1993","Apartment/Condo","20","Vancouver West","Vancouver","3/16/2014","VIVIAN","2","$1,381.00","9/16/2013","018-179-801",,"$475.00","12/24/2013","$532,000","$455.48","0.96","2","2","RES","$553,000","99","1,168","$455.48","0.92","Apartment/Condo","1",,"604-773-3837","3.255% -1ST $100,000/1.1625% BAL PLUS $2,000",,,"1",,,,"2","V6T 2G2",,,"BC",,,,
"H1304239","Residential Detached","S","42840 VEDDER MOUNTAIN ROAD","Yarrow","9999","House with Acreage","999","Yarrow","Yarrow","5/12/2014","KEVIN BRONW","2","$3,106.00","11/12/2013","007-905-289",,,"12/14/2013","$535,000","$198.44","0.97","3","5","RR","$549,900","32","2,696","$198.44","0.97","House with Acreage","2",,"604-916-8000","3.22% 1ST 100K/1.15% BAL L 1/2 BF",,"0/1.73 AC","1","220.00",,,"10","V2R 5J8",,"OWNER DOES NOT LIVE THERE","BC",,,,
"V1016482","Residential Attached","S","1205 160 E 13TH STREET","Central Lonsdale","1999","Apartment/Condo","14","North Vancouver","North Vancouver","2/21/2014","MICHELE","2","$581.00","7/5/2013","024-498-238",,"$479.54","12/27/2013","$535,000","$535.00","1.00","2","2","MULTI","$535,000","175","1,000","$535.00","0.92","Apartment/Condo","1",,"604-988-8000","3.22% ON 1ST $100,000 & 1.15% ON BALANCE","THE GRANDE",,"1",,,,"1","V7L 4W8",,,"BC",,,,
"V1033820","Residential Detached","S","5006 BAY ROAD","Sechelt District","2009","House/Single Family","4","Sunshine Coast","Sechelt","5/30/2014","BECKY OR PATTY","2","$3,475.00","10/25/2013","026-925-613",,,"1/3/2014","$535,000","$254.16","0.99","3","3","R3","$539,000","70","2,105","$254.16","0.99","House/Single Family","1",,"604-740-6743","3.255% ON THE 1ST $100,000.00 + 1.1625% OF THE BAL","DAVIS BAY","208","1","106.00",,,,"V0N 3A2",,,"BC",,,,
"V1032407","Residential Attached","S","16 9688 KEEFER AVENUE","McLennan North","2009","Townhouse","4","Richmond","Richmond","3/15/2014","MERILEE","2","$2,217.00","10/15/2013","027-767-965","3","$169.00","12/17/2013","$535,000","$387.96","0.97","3","3","ZT50","$549,900","63","1,379","$387.96","0.97","Townhouse","1",,"604-307-9722","3.255% ON 1ST $100,000 AND 1.1625% ON THE BALANCE","CHELSEA ESTATES",,"1",,,,"2","V6Y 0B6",,,"BC",,,,
"F1326676","Residential Detached","S","9832 158A STREET","Guildford","1986","House/Single Family","27","North Surrey","Surrey","4/30/2014","BLONDIE","2","$2,702.00","11/29/2013","002-135-761",,,"12/21/2013","$535,000","$214.00","0.98","3","4","RS1","$545,900","22","2,500","$214.00","0.98","House/Single Family","1",,"604-855-7393","S-3.22% 1ST 100K/1.15% BAL","SOMMERSET","118","2","60.00",,,"6","V4N 2A3",,,"BC",,,,
"F1322473","Residential Attached","S","9 14888 24TH AVENUE","Sunnyside Park Surrey","1994","Townhouse","19","South Surrey White Rock","Surrey","2/15/2014","Touchbase or Jarett","2","$2,991.00","9/28/2013","019-070-331","1","$233.83","12/16/2013","$536,000","$318.48","0.98","2","2","RM15","$549,000","79","1,683","$318.48","0.93","Townhouse","1",,"604-802-9195","S-3.22% 1ST 100K/1.15% BAL","Meridian Park Estates",,"2","0.00",,,"2","V4A 2H6",,,"BC",,,,
"V1033814","Residential Attached","S","6 2880 W 33RD AVENUE","MacKenzie Heights","1988","Apartment/Condo","25","Vancouver West","Vancouver","2/28/2014","Allyson, Brenda, Deborah","2","$2,060.00","10/28/2013","012-330-418","2","$361.82","12/22/2013","$537,000","$491.31","0.96","2","2","CD-1","$558,000","55","1,093","$491.31","0.96","Apartment/Condo","1",,"604-264-6621","3.25% OF FIRST $100,000 + 1.16% OF BALANCE","MacKenzie Gardens","128","1","81.00",,,"1","V6N 2G2",,,"BC",,,,
"V1038989","Residential Attached","S","1902 2088 MADISON AVENUE","Brentwood Park","2005","Apartment/Condo","8","Burnaby North","Burnaby","4/15/2014","MICHAEL","2","$2,878.00","12/12/2013","026-287-030","30","$299.10","12/24/2013","$538,000","$489.09","0.98","2","2","CDRM5","$549,000","12","1,100","$489.09","0.98","Apartment/Condo","1",,"604-435-9477","3.255% ON 1ST $100,000/1.1625% ON BAL","FRESCO",,"1",,,,"2","V5C 6T5",,,"BC",,,,
"V1039189","Residential Attached","S","1506 7373 WESTMINSTER HIGHWAY","Brighouse","2008","Apartment/Condo","5","Richmond","Richmond","12/31/2014","KADY","2","$2,090.00","12/16/2013","027-497-640",,"$344.69","12/23/2013","$538,000","$554.64","0.98","2","2","APT","$548,800","7","970","$554.64","0.98","Apartment/Condo","1",,"604-338-7700","3.255% ON FIRST $100,000 AND 1.1625 ON BALANCE",,,"0",,,,"1","V6X 0B5",,,"BC",,,,
"V1039471","Residential Attached","S","26 9088 JONES ROAD","McLennan North","2001","Townhouse","12","Richmond","Richmond","12/31/2014","VINCE","3","$2,091.00","12/23/2013","024-781-169",,"$167.30","12/24/2013","$538,800","$340.15","1.00","3","4","MF","$538,800","1","1,584","$340.15","1.00","Townhouse","1",,"604-313-3769","$3,000",,,"1",,,,"1","V6Y 4G8",,,"BC",,,,
"H1304393","Residential Detached","S","215 51075 FALLS COURT","Eastern Hillsides","2007","House/Single Family","6","Chilliwack","Chilliwack","2/25/2014","DAVID","2","$4,256.00","11/25/2013","025-746-821",,"$98.98","12/30/2013","$540,000","$139.25","0.92","3","3","OR3","$589,000","35","3,878","$139.25","0.92","House/Single Family","1",,"604-897-1454","3% 1ST 100K/.75% BAL L 1/2 BF","THE FALLS","150/.218 ACRES","2","63.00",,,"6","V4Z 1K7",,"COURT ORDERED SALE","BC",,,,
"V1038972","Residential Detached","S","1787 WESTERN DRIVE","Mary Hill","1966","House/Single Family","47","Port Coquitlam","Port Coquitlam","6/13/2014","COLIN COLPITTS","2","$3,088.00","12/13/2013","008-910-014",,,"12/16/2013","$540,000","$219.69","0.99","3","4","RSF","$544,900","3","2,458","$219.69","0.99","House/Single Family","2",,"604-561-9558","3.255% ON THE 1ST $100K & 1.1625% ON BAL.","MARY HILL",,"2","0.00",,,"6","V3C 2X4",,,"BC",,,,
"V1024159","Residential Attached","S","2507 58 KEEFER PLACE","Downtown VW","2007","Apartment/Condo","6","Vancouver West","Vancouver","1/23/2014","LYDIA","2","$2,089.00","8/25/2013","027-047-229",,"$363.81","12/29/2013","$545,000","$670.36","0.97","2","2","CD-1","$560,000","126","813","$670.36","0.93","Apartment/Condo","1",,"604-644-0778","3.255% ON 1ST $100,000 & 1.1625% ON BAL","FIRENZE I",,"1",,,,"2","V6B 0B8",,,"BC",,,,
"V1034882","Residential Attached","S","1903 6833 STATION HILL DRIVE","South Slope","2004","Apartment/Condo","9","Burnaby South","Burnaby","2/28/2014","The Team or Touchbase","2","$2,914.00","11/5/2013","025-998-994",,"$378.64","12/17/2013","$545,000","$460.30","0.98","2","3","MF","$558,000","42","1,184","$460.30","0.98","Apartment/Condo","1",,"604-437-0200","3.255% ON 1ST $100,000 & 1.1625% ON BALANCE","VILLA JARDIN",,"1","0.00",,,"1","V3N 5E1",,,"BC",,,,
"V1027097","Residential Detached","S","8543 ROYAL OAK AVENUE","South Slope","1953","House/Single Family","60","Burnaby South","Burnaby","1/4/2014","Adrian Vonarx","1","$3,734.00","9/9/2013","009-726-063",,,"12/20/2013","$545,000","$388.45","0.91","1","3","R2","$599,900","102","1,403","$388.45","0.91","House/Single Family","1",,"778-835-1411","3.255% ON 1ST $100,000 & 1.1625% ON BALANCE",,"119","1","50.00",,,"1","V5J 4L5",,"Limited knowlwedge of property","BC",,,,
"V1039581","Residential Attached","S","3107 1199 MARINASIDE CRESCENT","Yaletown","1999","Apartment/Condo","14","Vancouver West","Vancouver","7/31/2014","SCARLETT","1","$2,234.00","12/26/2013","024-521-400",,"$328.19","12/31/2013","$545,000","$749.66","0.99","1","1","CD-1","$550,000","5","727","$749.66","0.99","Apartment/Condo","1",,"604-644-4190","3.22% ON 1ST $100,000/1.15% ON BAL","AQUARIUS 1",,"1",,,,"1","V6Z 2Y2",,,"BC",,,,
"V997759","Residential Attached","S","1146 FAIRWAY VIEWS WYND","Tsawwassen East","1979","Townhouse","34","Tsawwassen","Tsawwassen","12/31/2013","Rita Bielli","2","$3,098.00","3/25/2013","001-626-345",,"$480.76","12/16/2013","$545,000","$243.20","0.98","3","3","MFD","$554,900","266","2,241","$243.20","0.91","Townhouse","1",,"604-808-2887","3.255% ON 1ST $100,000 & 1.1625% ON BALANCE","FAIRWAY VIEWS WYNDS",,"1",,,,"2","V4L 2E2",,,"BC",,,,
"F1400192","Residential Detached","S","5859 130TH STREET","Panorama Ridge","2012","House/Single Family","2","Surrey","Surrey","4/4/2014","GILLTEAM-TOUCHBASE","3","$3,443.00","1/2/2014","027-256-618",,,"1/2/2014","$546,000","$217.10","0.99","4","6","RF9","$549,606","0","2,515","$217.10","0.99","House/Single Family","1",,"604-562-9954","S-$6,000",,"85","1","32.00",,,"3","V3X 0C6",,"UPON ACCEPTED OFFER","BC",,,,
"V1032771","Residential Detached","S","24937 109TH AVENUE","Thornhill MR","2013","House/Single Family","0","Maple Ridge","Maple Ridge","3/28/2014","Sean","4","$3,751.00","10/18/2013","028-729-790",,,"12/15/2013","$546,728","$155.54","0.97","4","6","RS","$564,900","58","3,515","$155.54","0.97","House/Single Family","2",,"778-881-8500","3.2% 1ST 100K AND 1.16% BAL + $1000 BONUS",,,"1","0.00",,,,"V2W 0E3",,"New Construction","BC",,,,
"V1039125","Residential Detached","S","513 GARRETT STREET","Sapperton","1955","House/Single Family","58","New Westminster","New Westminster","4/14/2014","LYNNE HAYES","1","$3,129.00","12/14/2013","009-287-337",,,"12/23/2013","$548,000","$316.40","1.02","2","3","SFD","$539,900","9","1,732","$316.40","1.02","House/Single Family","1",,"778-883-9645","3.22% ON 1ST $100,000 / 1.1625% ON BALANCE",,"113","2","45.00",,,"4","V3L 3S5",,,"BC",,,,
"F1326199","Residential Detached","S","18883 67A AVENUE","Clayton","2009","House/Single Family","4","Cloverdale","Surrey","3/31/2014","DALE OR DARREN","3","$3,402.00","11/21/2013","027-191-125",,,"12/16/2013","$548,000","$214.73","0.98","4","5","RF9-S","$559,900","25","2,552","$214.73","0.98","House/Single Family","2",,"604-575-5262","S-3.22% 1ST 100K/1.15% BAL","HUDSON CROSSING","95","1","30.00",,,"2","V4N 5Z9",,,"BC",,,,
"V1030990","Residential Detached","S","39019 KINGFISHER ROAD","Brennan Center","2013","House/Single Family","0","Squamish","Squamish","4/30/2014","DAWN, DEBBIE, MICHAEL","2","$1,445.00","10/4/2013","028-173-911",,,"12/17/2013","$549,000","$318.08","1.00","2","4","CD","$549,000","74","1,726","$318.08","1.00","House/Single Family","1",,"604-898-5904","1.4%","MAPLES AT FINTREY PARK",,"0",,,,"4","V8B 0S9",,,"BC",,,,
"V1027618","Residential Attached","S","203 150 E CORDOVA STREET","Downtown VE","2014","Apartment/Condo","0","Vancouver East","Vancouver","12/31/2013","JAMES MCKENNY","2","$0.00","9/18/2013","015-686-264","9","$335.00","12/18/2013","$549,800","$575.71","1.00","2","2","HA-2","$549,800","91","955","$575.71","1.00","Apartment/Condo","1",,"604-568-0228","2.55%-1ST $100K/1.1625% BAL",,,"0",,,,"1","V6A 1K9",,,"BC",,,,
"V1030709","Residential Attached","S","603 408 LONSDALE AVENUE","Lower Lonsdale","1991","Apartment/Condo","22","North Vancouver","North Vancouver","1/3/2014","Dale McGauran","2","$2,117.00","10/3/2013","014-074-401","8","$371.10","12/14/2013","$550,000","$551.65","0.98","2","2","MF","$564,000","72","997","$551.65","0.97","Apartment/Condo","1",,"778-881-8392","3.22% ON 1ST $100,000 + 1.15% ON BALANCE","The Monaco",,"1",,,,"1","V7M 2G5",,,"BC",,,,
"V1032000","Residential Detached","S","25 LAKEVIEW DRIVE","Black Tusk - Pinecrest","1980","House/Single Family","33","Whistler","Whistler","4/9/2014","KRIS SKOUPAS","2","$1,849.00","10/9/2013","005-444-578",,"$305.00","12/16/2013","$550,000","$305.56","0.94","2","5","RS-1","$585,000","68","1,800","$305.56","0.94","House/Single Family","1",,"604-932-7788","3% ON THE 1ST $100,000 / 1.5% ON THE BALANCE","PINECREST",,"1",,,,,"V0N 1B1",,,"BC",,,,
"F1315157","Land Only","S","1743 KEATS STREET","Poplar",,,,"Abbotsford","Abbotsford","12/20/2013","CAMERON GAIR",,"$3,861.00","6/19/2013","006-754-635",,,"12/19/2013","$550,000","$12.03","0.79",,,"RS2","$695,000","183",,"$12.03","0.73","Other",,"Road Access","604-530-4141","S-3.22% 1ST 100K/1.15% BAL",,"289.20 (1.05AC)",,"426.20","Yes",,,"V2S 3G5","Yes","SELLER NEVER LIVED IN","BC","Nearby",,"Nearby","City/Municipal"
